City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,beyneu,100,KZ,1583983160,41,45.32,55.2,42.04,12.33
1,wladyslawowo,20,PL,1583983161,80,54.79,18.4,42.01,10.29
2,vaini,90,TO,1583983162,100,-21.2,-175.2,78.8,6.93
3,olafsvik,100,IS,1583983163,78,64.89,-23.71,27.1,24.99
4,havre-saint-pierre,1,CA,1583983164,85,50.23,-63.6,12.2,6.93
5,ushuaia,90,AR,1583983006,93,-54.8,-68.3,46.4,3.36
6,port alfred,100,ZA,1583983166,96,-33.59,26.89,66.99,4.0
7,puerto ayora,3,EC,1583982929,100,-0.74,-90.35,80.01,1.99
8,albany,40,US,1583983094,55,42.6,-73.97,37.0,3.36
9,punta arenas,75,CL,1583983088,87,-53.15,-70.92,46.4,5.82
10,sorland,100,NO,1583983173,97,67.67,12.69,33.46,26.87
11,wanning,1,CN,1583983174,78,18.8,110.4,79.34,11.21
12,severo-kurilsk,97,RU,1583982913,87,50.68,156.12,19.65,28.68
13,arlit,49,NE,1583983105,14,18.74,7.39,62.94,12.53
14,flinders,40,AU,1583983042,50,-34.58,150.86,78.01,13.87
15,nalut,0,LY,1583983179,89,30.33,10.85,43.3,5.14
16,maltahohe,0,NA,1583983180,35,-24.83,16.98,62.89,3.78
17,hithadhoo,16,MV,1583982835,73,-0.6,73.08,83.46,13.82
18,rikitea,4,PF,1583983005,76,-23.12,-134.97,77.65,12.12
19,paithan,0,IN,1583983184,38,19.48,75.38,73.4,2.24
20,castro,1,BR,1583983185,96,-24.79,-50.01,62.65,8.55
21,kapaa,75,US,1583983186,73,22.08,-159.32,78.8,8.05
22,tirumullaivasal,0,IN,1583983187,67,11.23,79.83,81.12,6.71
23,narsaq,0,GL,1583983009,44,60.92,-46.05,21.2,4.7
24,tiksi,0,RU,1583983149,73,71.69,128.87,-11.96,12.17
25,nioro,0,GM,1583983190,17,13.35,-15.75,73.72,3.58
26,dikson,82,RU,1583983018,99,73.51,80.55,-13.83,10.92
27,barrow,40,US,1583983008,95,71.29,-156.79,-32.8,9.17
28,vuktyl,100,RU,1583983194,100,63.86,57.31,34.11,9.37
29,tateyama,75,JP,1583983196,47,34.98,139.87,57.2,12.75
30,ornskoldsvik,90,SE,1583983197,100,63.29,18.72,30.2,3.36
31,san borja,96,BO,1583983198,71,-14.82,-66.85,77.32,2.17
